title,price,location,destaque,condominio,area_util,quartos,banheiros,vagas_na_garagem,iptu,academia,elevador,permitido_animais,piscina,portaria,salao_de_festas,condominio_fechado,seguranca_24h,portao_eletronico,area_murada,area_de_servico,armarios_na_cozinha,armarios_no_quarto,churrasqueira,mobiliado,quarto_de_servico,ar_condicionado,porteiro_24h,varanda,img_index,categoria_Casas,tipo_Casa de vila,tipo_Cobertura,tipo_Duplex ou triplex,tipo_Kitnet,tipo_Loft,tipo_Padrão,zona_LESTE,zona_NORTE,zona_OESTE,zona_SUL
Apartamento para venda tem 32 metros quadrados com 2 quartos em Barra Funda - São Paulo - ,231717,9,0,0,32,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,1,0
Apartamento para venda possui 71 metros quadrados com 2 quartos em Pinheiros - São Paulo -,849000,491,0,1300,71,2,2,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,24,0,0,0,0,0,0,1,0,0,1,0
"Apartamento (Padrão), com 2 quartos e 2 banheiros à Venda, 70 m² em São Paulo/SP",360000,564,0,440,70,2,2,1,1120,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,1,0
"Apartamento (Padrão), com 2 quartos e 2 banheiros à Venda, 70 m² em São Paulo/SP",365000,753,0,490,70,2,2,1,1090,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,1,0
COND. PARC DOMINIQUE - OPORTUNIDADE ÚNICA!!!,690000,192,0,780,77,3,2,2,200,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,27,0,0,0,0,0,0,1,0,0,1,0
Apartamento para venda com 3 quartos em Pinheiros SP,750000,491,0,0,100,3,4,3,1100,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,28,0,0,0,0,0,0,1,0,0,1,0
Apto 2 Dormitorios 1 Vaga No Coracao Do Jaguare,400000,120,0,600,74,2,2,1,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,1,0
Parque Das Flores - Residencial Bosque,737900,387,0,1000,82,3,2,1,300,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,31,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,561870,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,599328,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,956729,9,0,600,64,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Vila São Francisco,640000,66,0,650,58,2,1,2,1224,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,956729,9,0,600,64,2,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,541060,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,499440,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,499440,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,582680,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,541060,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,956729,9,0,600,64,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Casa Padrão - Parque São Domingos,850000,470,0,1,140,3,1,2,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Studio - Sumarezinho,600000,517,0,950,34,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Jardim Íris,272000,396,0,700,50,2,1,1,100,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,924624,9,0,600,64,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,520250,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,47,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Studio - Sumarezinho,600000,517,0,950,34,1,1,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Pinheiros,828800,491,0,1250,69,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Barra Funda,582680,9,0,600,42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Apartamento Padrão - Pinheiros,1952000,491,0,2570,146,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,1,0
SãO PAULO - Studio - Perdizes,405000,489,0,300,23,1,1,0,200,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,1,0,0,1,0
Apto Jd Anália Franco - 3 dorm(2 suíte + escritório),1130000,773,1,870,91,3,2,2,440,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,53,0,0,0,0,0,0,1,1,0,0,0
Apto Itaquera - Avalia veiculo como forma de entrada - Minha casa minha vida,300000,267,1,309,43,2,1,1,50,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,58,0,0,0,0,0,0,1,1,0,0,0
Sobrado para venda tem 81 metros quadrados com 3 quartos em Belenzinho - São Paulo - SP,900000,13,0,0,81,3,3,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,59,1,0,0,0,0,0,1,1,0,0,0
Sobrado para venda possui 140 metros quadrados com 3 quartos,910000,218,0,0,140,3,3,2,840,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,1,0,0,0,0,0,1,1,0,0,0
"Vendo Casa Terreno no Jd V Formosa, 125 ou ainda 250m²",325000,368,0,0,125,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0,0,0,0,0,1,1,0,0,0
Apartamento para venda com 165 metros quadrados com 3 quartos em Vila Formosa - São Paulo ,990000,641,0,1825,165,3,4,4,652,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,63,0,0,0,0,0,0,1,1,0,0,0
"Casa / Sobrado para Venda em São Paulo, Vila Sapopemba, 7 dormitórios, 4 banheiros, 2 vaga",500000,805,0,0,125,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,1,0,0,0,0,0,1,1,0,0,0
Sobrado para aluguel e venda tem 249 metros quadrados com 3 quartos em Vila Alpina - São P,920000,540,0,0,249,3,3,5,375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,1,0,0,0,0,0,1,1,0,0,0
"Apartamento com 2 dormitórios para alugar, 74 m² por R$ 3.025,00/mês - Mooca - São Paulo/S",450000,740,0,1000,74,2,2,3,325,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,67,0,0,0,0,0,0,1,1,0,0,0
Casa Sobrado a Venda 5 m² 2 Dorms Sendo 1 Suíte C/ 1 Vaga- Chácara Califórnia - São Paulo ,360000,41,0,0,55,2,2,1,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,1,1,0,0,0
Apartamento para venda possui 60 metros quadrados com 2 quartos,525000,499,0,500,60,2,2,1,200,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,72,0,0,0,0,0,0,1,1,0,0,0
Apartamento | 45m² | 2 Dormitórios | 1 Vaga | Belem,325010,22,0,465,45,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,73,0,0,0,0,0,0,1,1,0,0,0
Apartamento | 2 Dormitórios | Belém | 1 Vaga,325000,22,0,465,45,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,74,0,0,0,0,0,0,1,1,0,0,0
Apartamento | 57m² | 2 Dormitórios | 1 Suiíte | Mooca | 1 Vaga de Garagem,477000,570,0,719,57,2,2,1,20,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,75,0,0,0,0,0,0,1,1,0,0,0
Sobrado | 136m² | 3 Dorms |1 Suíte | 5 vagas de Garagem | Jardim Nossa Senhora do Carmo,647000,267,0,0,136,3,4,5,280,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,76,1,0,0,0,0,0,1,1,0,0,0
Apartamento | Mooca | 74m² | 3 Quartos com 1 Suíte | 1 Vaga | Vila Bertioga,747000,570,0,1200,74,3,2,1,50,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,77,0,0,0,0,0,0,1,1,0,0,0
Casa para venda possui 250 metros quadrados com 3 quartos em  Vila Prudente - São Paulo - ,1199000,540,0,0,250,3,3,2,960,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,78,1,0,0,0,0,0,1,1,0,0,0
Apto Condomínio Costa do Sol,235000,105,0,498,53,2,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,79,0,0,0,0,0,0,1,1,0,0,0
"Apartamento (Padrão), com 2 quartos e 1 banheiros à Venda, 64 m² em São Paulo/SP",305000,631,0,510,64,2,1,1,1126,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,80,0,0,0,0,0,0,1,1,0,0,0
"Apartamento (Padrão), com 2 quartos e 1 banheiros à Venda, 50 m² em São Paulo/SP",240000,99,0,350,50,2,1,1,765,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,81,0,0,0,0,0,0,1,1,0,0,0
Sobrado para venda tem 209 metros quadrados com 3 quartos em Jardim Avelino - São Paulo - ,990000,146,0,0,209,3,5,5,448,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,82,1,0,0,0,0,0,1,1,0,0,0
Apartamento para venda Barão de Cascais Mooca 114m² com 3 dormitórios e varanda gourmet,1700000,139,0,1300,114,3,3,3,1050,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,84,0,0,0,0,0,0,1,1,0,0,0
Apartamento para venda com 109 metros quadrados com 3 quartos em Chácara Califórnia - São ,902000,41,0,980,109,3,1,2,140,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,85,0,0,0,0,0,0,1,1,0,0,0
Apartamento para venda possui 72 metros quadrados com 3 quartos em Vila Ivone - São Paulo ,375000,675,0,500,72,3,2,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,86,0,0,0,0,0,0,1,1,0,0,0
Sobrado para venda na Mooca com 3 dormitórios e edícula,1277000,570,0,0,180,3,3,3,403,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,87,1,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Fazenda da Juta,170000,101,0,150,57,2,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,1,0,0,0
"LANÇAMENTO NA PLANTA MINHA CASA, MINHA VIDA!",190000,64,0,0,44,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Vila Bela,450000,568,0,687,76,2,1,1,209,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Itaquera,270000,118,0,350,42,2,1,0,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Vila Chabilândia,390000,599,0,390,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Vila Santa Clara,565000,789,0,600,63,2,1,1,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Jardim Vila Formosa,285000,368,0,340,49,2,1,1,100,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Vila Prudente,390000,771,0,480,65,2,1,0,100,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Cidade Líder,240000,61,0,550,49,2,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Vila Santa Teresa (Zona Sul),280000,798,0,670,56,2,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,1,1,0,0,0
Sobrado para venda com 152 metros quadrados com 3 quartos em Vila Formosa - São Paulo - SP,990000,641,0,0,152,3,4,5,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Casa Padrão - Parque Independência,460000,443,0,1,63,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Vila Bela,355000,568,0,680,69,2,1,1,200,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Casa Padrão - Vila Prudente,415000,771,0,0,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Vila Pierina,350000,756,0,0,55,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,1,1,0,0,0
SãO PAULO - Apartamento Padrão - Vila Carrão,280000,594,0,370,49,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,1,1,0,0,0
Apartmento duplex ,850000,700,1,1802,61,1,2,2,220,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,108,0,0,1,0,0,0,0,0,0,0,1
"Apartamento para venda em Moema Índios, 86,14m², 3 dormitórios, sendo 2 suítes, 2 vagas.",1450000,111,0,1300,86,3,3,2,455,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,109,0,0,0,0,0,0,1,0,0,0,1
"Apartamento VENDA 102 m2, 3 dorm, 1 suíte, 2 vagas, 1 deposito grande, lazer, Klabin, São ",1200000,369,0,2184,102,3,3,2,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,110,0,0,0,0,0,0,1,0,0,0,1
Chácara Santo Antonio Apartamento A Venda 70m2 3 Dormitorios 2 Banheiros Usado Pronto P Mo,489900,512,0,750,70,3,2,0,100,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,111,0,0,0,0,0,0,1,0,0,0,1
Apartamento para venda possui 76 metros quadrados com 2 quartos em Jardim Europa - São Pau,650000,195,0,650,70,2,2,1,400,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,112,0,0,0,0,0,0,1,0,0,0,1
"Apartamento espetacular na Vila Clementino, 3 dormitórios(1 suíte) 2 vagas, próximo ao met",1650000,600,0,1200,106,3,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,0,0,0,0,0,0,1,0,0,0,1
Apartamento para venda possui 83 m² 2 quartos em Cidade Jardim,2500000,60,0,1800,83,2,2,1,800,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,1,0,0,0,1
Vendo casa no jardim lourdes (guaianazes),180000,236,0,0,125,2,2,1,460,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,120,1,1,0,0,0,0,0,0,0,0,1
Apartamento para venda possui 112 metros quadrados com 3 quartos em Paraíso - São Paulo - ,1170000,424,0,1600,112,3,3,1,350,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,122,0,0,0,0,0,0,1,0,0,0,1
Lindo Garden na Vila Nova Conceição Conceição em prédio novo!,2470000,729,0,1473,117,2,3,1,346,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,1,0,0,0,1
Apartamento no Jardim São Savério com 2 quartos e 1 vaga,250000,348,0,300,37,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,125,0,0,0,0,0,0,1,0,0,0,1
"Apartamento com 2 quartos, 78m² - venda R$ 760.000,00 - Jardim Paulista - São Paulo/SP",760000,283,0,890,78,2,2,0,178,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,130,0,0,0,0,0,0,1,0,0,0,1
"Apartamento com 2 quartos, 69m² - venda R$ 960.000,00 - Indianópolis - São Paulo/SP",960000,111,0,1440,69,2,3,1,430,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,131,0,0,0,0,0,0,1,0,0,0,1
"Apartamento (Padrão), com 2 quartos e 1 banheiros à Venda, 48 m² em São Paulo/SP",345000,461,0,490,48,2,1,1,1123,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,133,0,0,0,0,0,0,1,0,0,0,1
"Apartamento (Padrão), com 2 quartos e 1 banheiros à Venda, 50 m² em São Paulo/SP",300000,300,0,455,50,2,1,1,1100,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,134,0,0,0,0,0,0,1,0,0,0,1
Studio para venda tem 33 metros quadrados com 1 quarto em Vila Cordeiro - São Paulo - SP,420000,607,0,0,33,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,135,0,0,0,0,0,1,0,0,0,0,1
Apartamento para venda com 131 metros quadrados com 3 quartos em Vila Mariana - São Paulo ,2530000,700,0,1200,131,3,5,2,700,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,139,0,0,0,0,0,0,1,0,0,0,1
"Flat Nobile Suítes Congonhas disponível para venda com 45m², 1 dormitório e 1 vaga de gara",636000,418,0,1700,45,1,1,1,192,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,142,0,0,0,0,0,1,0,0,0,0,1
Apartamento Jardim Paulista 3 Dormitórios,1525000,283,0,1930,127,3,3,1,600,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,143,0,0,0,0,0,0,1,0,0,0,1
"Belíssima casa numa rua tranquila 208 m², 3 suítes, 2 vagas no Parque Jabaquara - São Paul",760000,119,0,0,208,3,5,2,148,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,145,1,0,0,0,0,0,1,0,0,0,1
"Apartamento 65 m², 3 dormitórios, 1 vaga demarcada",270000,151,0,545,65,3,1,1,100,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,1,0,0,0,1
Apartamento de 126 m² na Av. D. Pedro I a 630 m do Monumento á Independência,490000,713,0,844,126,3,2,1,22,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,147,0,0,0,0,0,0,1,0,0,0,1
Cobertura Duplex - Ipiranga,950000,713,0,1462,212,3,3,2,596,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,148,0,0,1,0,0,0,0,0,0,0,1
"Apartamento à venda 49m² com uma vaga, no Ipiranga.",620000,114,0,550,49,1,2,1,85,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,149,0,0,0,0,0,0,1,0,0,0,1
SãO PAULO - Apartamento Padrão - Jardim Paulista,1900000,283,0,1500,140,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,1,0,0,0,1
SãO PAULO - Studio - Vila Guarani (Z Sul),297900,652,0,474,30,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,1,0,0,0,1
Apartamanento à venda com 50m2,317000,566,1,580,50,2,1,1,75,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,155,0,0,0,0,0,0,1,0,1,0,0
Apartamento 01 dormitório Vila Basiléia,275000,566,0,750,46,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,0,0,0,0,0,0,1,0,1,0,0
Apartamento para venda tem 80 metros quadrados com 3 quartos em Água Fria - São Paulo - SP,698000,860,0,768,80,3,2,1,135,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,161,0,0,0,0,0,0,1,0,1,0,0
"Apartamento tipo para venda com 3 quartos, 73.19m²",580000,860,0,710,73,3,2,0,1133,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,162,0,0,0,0,0,0,1,0,1,0,0
